id;track_name;genre;artist_name;topic;release_date
0;mohabbat bhi jhoothi;pop;mukesh;sadness;1950
1;i believe;pop;frankie laine;world/life;1950
2;cry;pop;johnnie ray;music;1950
3;patricia;pop;pérez prado;romantic;1950
4;apopse eida oneiro;pop;giorgos papadopoulos;romantic;1950
5;round and round (with mitchell ayres and his orchestra & the ray charles singers);pop;perry como;violence;1950
6;opm medley: when i met you;pop;freestyle;world/life;1950
7;it's not for me to say;pop;johnny mathis;world/life;1950
8;klapse me mana klapse me;pop;stélios kazantzídis;romantic;1950
9;finito la mouzika;pop;stélios kazantzídis;sadness;1950
10;drømmer man om den, vågner..;pop;liva weel;obscene;1951
11;carolina moon;pop;the chordettes;night/time;1951
12;necessary evil;pop;frankie laine;obscene;1951
13;kanugona galano;pop;ghantasala;sadness;1951
14;the carioca;pop;les paul;romantic;1951
15;if you've got the money i've got the time;country;lefty frizzell;night/time;1950
16;i want to be with you always;country;lefty frizzell;music;1950
17;how long will it take (to stop loving you);country;lefty frizzell;night/time;1950
18;look what thoughts will do;country;lefty frizzell;world/life;1950
19;treasure untold;country;lefty frizzell;romantic;1950
20;my old pal;country;lefty frizzell;world/life;1950
21;always late (with your kisses);country;lefty frizzell;night/time;1950
22;i love you a thousand ways;country;lefty frizzell;world/life;1950
23;she's gone, gone, gone;country;lefty frizzell;violence;1950
24;the long black veil;country;lefty frizzell;violence;1950
25;give me more, more, more (of your kisses);country;lefty frizzell;romantic;1950
26;lost love blues (rehearsal session);country;lefty frizzell;night/time;1951
27;i'll try;country;lefty frizzell;sadness;1951
28;all of me loves all of you;country;lefty frizzell;world/life;1951
29;no mother in this world today;country;lester flatt;world/life;1951
30;how about rocking with me;blues;piney brown;obscene;1950
31;midnight blues;blues;the ravens;music;1950
32;gotta find my baby;blues;the ravens;obscene;1950
33;you're gonna lose your gal;blues;the ravens;violence;1950
34;i've got a crush on you;blues;ella fitzgerald;world/life;1950
35;but not for me;blues;ella fitzgerald;sadness;1950
36;soon;blues;ella fitzgerald;music;1950
37;call me darling;blues;josh white;obscene;1951
38;the bigger the figure (with keely smith);blues;louis prima;sadness;1951
39;one mint julep;blues;louis prima;obscene;1951
40;eleanor;blues;louis prima;sadness;1951
41;basta;blues;louis prima;violence;1951
42;you'll have to swing it (mr. paganini);blues;ella fitzgerald;music;1953
43;it might as well be spring;blues;ella fitzgerald;music;1953
44;thanks for the memory;blues;ella fitzgerald;world/life;1953
45;it's the talk of the town;jazz;gene ammons;sadness;1950
46;you go to my head;jazz;gene ammons;violence;1950
47;yesterdays;jazz;bud powell;music;1950
48;stranger in paradise;jazz;tony bennett;sadness;1950
49;zing-a zing-a zing boom;jazz;dean martin;sadness;1950
50;be honest with me;jazz;dean martin;romantic;1950
51;three wishes;jazz;dean martin;sadness;1950
52;just for fun;jazz;dean martin;sadness;1950
53;absence makes the heart grow fonder (for somebody else);jazz;dean martin;sadness;1950
54;vieni su (say you love me, too);jazz;dean martin;night/time;1950
55;the money song;jazz;dean martin;obscene;1950
56;i don't care if the sun don't shine;jazz;dean martin;romantic;1950
57;i don't know why (i just do);jazz;erroll garner;obscene;1950
58;i'll remember april;jazz;george shearing;romantic;1950
59;here in my arms;jazz;doris day;romantic;1950
60;just you;reggae;prince buster;obscene;1963
61;they got to come;reggae;prince buster;violence;1963
62;next door neighbour;reggae;owen gray;world/life;1964
63;simmer down;reggae;bob marley & the wailers;violence;1964
64;i got a pain;reggae;prince buster;obscene;1964
65;sammy dead;reggae;eric morris;violence;1964
66;lucky 7;reggae;prince buster;world/life;1964
67;coolie boy;reggae;don drummond;obscene;1965
68;long time now;reggae;the ethiopians;night/time;1966
69;engine 54;reggae;the ethiopians;sadness;1966
70;give me your love;reggae;the ethiopians;night/time;1966
71;dark street;reggae;prince buster;obscene;1967
72;dance with me;reggae;the paragons;obscene;1967
73;oh love (live);reggae;prince buster;obscene;1967
74;mercy, mercy, mercy;reggae;john holt;world/life;1967
75;big fool;rock;ronnie self;sadness;1955
76;bop-a-lena;rock;ronnie self;obscene;1955
77;i heard the angels singing;rock;frankie laine;music;1956
78;i feel like my time ain't long;rock;frankie laine;obscene;1956
79;jamaica d.j.;rock;bill haley & his comets;music;1956
80;forgive me;rock;pat boone;sadness;1956
81;take me in your arms;rock;the platters;romantic;1956
82;i'm gonna sit right down and cry (over you);rock;elvis presley;feelings;1956
